Model,Mean R2,Std R2,Mean RMSE,Mean MAE
Linear Regression,-1.5147430126446553,2.4717551803906805,0.4592664572049018,0.3831817264275174
Ridge Regression,-1.506079400798529,2.4595472700845535,0.45875279288393633,0.3826648138814742
Random Forest Regressor,-1.0601298130883021,0.8320422515448103,0.47231111420100735,0.3800782689869547
XGBoost Regressor,-1.5417764203396018,1.6147865021048995,0.48858632483980113,0.3882694218036654
