original_taxon,clean_species,relative_abundance,sample_id,source,category,macrocategory,country
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Novacetimonas|s__Novacetimonas_cocois|t__SGB208091,novacetimonas_cocois,0.06303,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_oxydans|t__SGB1165,gluconobacter_oxydans,0.7348,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_kondonii|t__SGB30476,gluconobacter_kondonii,5.06603,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_ptyseos|t__SGB10295,tatumella_ptyseos,6.76951,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_sp_JGM130|t__SGB92518,tatumella_sp_jgm130,0.14955,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_SGB211856|t__SGB211856,tatumella_sgb211856,14.89933,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_sp_JGM118|t__SGB92519,tatumella_sp_jgm118,1.70369,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_thailandicus|t__SGB1186,acetobacter_thailandicus,0.4102,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_citrea|t__SGB10293,tatumella_citrea,0.49955,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__GGB143084|s__GGB143084_SGB213467|t__SGB213467,ggb143084_sgb213467,0.00386,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_sp_alder81|t__SGB110057,pantoea_sp_alder81,0.24339,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Erwiniaceae_unclassified|s__Erwiniaceae_bacterium_L1_54_3|t__SGB81771,erwiniaceae_bacterium_l1_54_3,10.18175,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cancerogenus|t__SGB10181,enterobacter_cancerogenus,5.48767,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_rwandensis|t__SGB10180,pantoea_rwandensis,14.43598,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Candidatus_Pantoea_multigeneris|t__SGB31219,candidatus_pantoea_multigeneris,0.0016,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_sp_G0240|t__SGB28207,chryseobacterium_sp_g0240,0.13833,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella|s__Bordetella_genomosp_4|t__SGB13104,bordetella_genomosp_4,0.02656,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_rodasii|t__SGB10178,pantoea_rodasii,0.03517,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_SGB21203|t__SGB21203,tatumella_sgb21203,0.13727,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter_aloeverae|t__SGB32689,achromobacter_aloeverae,0.00805,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|s__Novosphingobium_lindaniclasticum|t__SGB11529,novosphingobium_lindaniclasticum,0.00328,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_rodasii|t__SGB10179,pantoea_rodasii,0.00213,SRR8742576,cfmd_food,fermented_seeds,food,BRA
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae|t__EUK4932,saccharomyces_cerevisiae,3.06707,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Rhodanobacteraceae|g__Frateuria|s__Frateuria_aurantia|t__SGB180577,frateuria_aurantia,0.31372,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_pasteurianus|t__SGB1196,acetobacter_pasteurianus,0.00921,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_senegalensis|t__SGB1205,acetobacter_senegalensis,0.13136,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Kozakia|s__Kozakia_baliensis|t__SGB1183,kozakia_baliensis,0.04026,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_persici|t__SGB1199,acetobacter_persici,0.01502,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_japonicus|t__SGB1161,gluconobacter_japonicus,2.09619,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB59904|s__GGB59904_SGB81786|t__SGB81786,ggb59904_sgb81786,0.07323,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_daejeonense|t__SGB28244,sphingobacterium_daejeonense,0.01479,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_thalpophilum|t__SGB28240,sphingobacterium_thalpophilum,0.22889,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__Comamonas_terrae|t__SGB32618,comamonas_terrae,0.00139,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia|s__Pichia_manshurica|t__EUK121235,pichia_manshurica,0.02163,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Periweissella|s__Periweissella_ghanensis|t__SGB109637,periweissella_ghanensis,0.01121,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_oboediens|t__SGB1177,komagataeibacter_oboediens,0.00678,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_cerinus|t__SGB1160,gluconobacter_cerinus,0.60624,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_saanichensis|t__SGB31094,tatumella_saanichensis,3.7713,SRR8742577,cfmd_food,fermented_seeds,food,BRA
