participant_id,participant_shannon_mean,participant_shannon_std,participant_n_samples,participant_shannon_cv
MCTs01,3.0661867862157854,0.15086757527952444,15,0.04920364798314247
MCTs03,3.0127644737531813,0.17147489664936869,12,0.056916130730840744
MCTs04,2.6080894332678404,0.1793514281763448,15,0.06876736122948976
MCTs05,2.2834325818379555,0.1809758965859005,6,0.07925607176903439
MCTs06,3.292725671379827,0.2351224247800382,7,0.07140662425166729
MCTs07,3.0730571485526177,0.0621156440214432,16,0.020212980435687346
MCTs08,2.4511064489987424,0.13982806425794692,17,0.05704691622637017
MCTs09,3.0362433239475752,0.09479946900631939,16,0.03122261916843534
MCTs10,3.0279414629917634,0.1044661355019996,14,0.03450071171414973
MCTs11,3.1301057237684375,0.14997595346551967,16,0.0479140216660026
MCTs12,2.7185799600090146,0.21733378600933778,16,0.07994386378417102
MCTs13,3.184778348351071,0.09419968815646879,11,0.029578098647034874
MCTs14,3.3375895835487825,0.3490079356995624,16,0.10456885934083911
MCTs15,3.149983389520955,0.15078640157238452,11,0.04786895133288811
MCTs16,3.241765928131151,0.12277879079796422,14,0.037874045665210965
MCTs18,2.344995694322305,0.23868825807265476,17,0.1017862244483288
MCTs19,2.4476669318836954,0.20017081372209855,15,0.08178025004735814
MCTs20,3.2696070251473235,0.07357848975999715,12,0.02250377161355708
MCTs21,2.53023818431551,0.10382941398247623,15,0.04103543082469312
MCTs22,2.9984980237296335,0.09115303244621803,15,0.030399563956636795
MCTs23,3.040102964984326,0.12146556881846224,17,0.03995442595776966
MCTs24,2.5253613497202854,0.45432087703083573,16,0.17990331446276286
MCTs25,2.808869591775823,0.13414065623176635,15,0.04775609968669281
MCTs26,2.8488569576809986,0.10390356796185135,17,0.036472020008484395
MCTs27,3.2242467602881275,0.15753260436315225,14,0.0488587307595138
MCTs28,3.2417249736919236,0.28976820157001676,12,0.08938704051750776
MCTs29,3.4833813808508283,0.13798461845317647,6,0.03961226273175785
MCTs31,2.3354978132498663,0.29872006303306614,15,0.12790423580718085
MCTs32,3.2972272345003337,0.16179291656578987,14,0.04906938620210329
MCTs33,3.0863307746377275,0.08755127740796695,17,0.02836743168536227
MCTs34,2.980584914057656,0.10217070285265788,12,0.03427874252827997
MCTs35,2.1723464308392724,0.35380523778399836,12,0.16286777871212188
MCTs36,2.8120789605532717,0.17682911830756923,17,0.0628819890152652
MCTs37,1.9445918927085275,0.15957588970772088,15,0.08206137766287577
