Model,Mean Accuracy,Std Accuracy,Mean ROC-AUC,Std ROC-AUC
Logistic Regression,0.42540261410658353,0.0729271241173733,0.33867364019039237,0.056781562960633004
Random Forest,0.5578604547231999,0.03789313218776104,0.4986683489893987,0.10194317411967126
XGBoost,0.5186553960059459,0.07136804511505819,0.4793598525452699,0.09435306003771132
SVM,0.36782493415683276,0.05941551513344416,0.4298479154405072,0.07072195151706047
LightGBM,0.502958493938886,0.0899271681047878,0.43080131358940726,0.181321489264233
