Model,Mean Accuracy,Std Accuracy,Mean ROC-AUC,Std ROC-AUC
Logistic Regression,0.3340982449542947,0.09030262036785926,0.3808905147944557,0.11642833688529135
Random Forest,0.47651091845257315,0.10130682877192018,0.5449525669322467,0.15720069317488675
XGBoost,0.47034467348192843,0.0653137619850457,0.49279170883850687,0.1065233613591535
SVM,0.37890863162025284,0.06689751047024724,0.5323017171662492,0.09678738642759627
LightGBM,0.48579335396169443,0.10202748082463696,0.5322775281642278,0.1528143517631987
