Model,Mean R2,Std R2,Mean RMSE,Mean MAE
Linear Regression,-0.28957524596271356,0.18102106945917917,0.4484985246325742,0.36602605071170136
Ridge Regression,-0.2856795236564936,0.17873384905102147,0.44784550580734467,0.3655789301275344
Random Forest Regressor,-0.780919537929008,0.547776454067674,0.5136119057017023,0.41954562610744206
XGBoost Regressor,-0.8220724805443538,0.7263137614458666,0.5208737564764844,0.40856381011849685
